2025-10-16 02:37:43|10,00|0
2025-10-16 02:37:44|11,00|1
2025-10-16 02:37:46|111,00|2
2025-10-16 02:37:47|2,00|3
2025-10-16 02:37:49|10,00|4
2025-10-16 02:37:49|10,00|5
2025-10-16 02:37:50|10,00|6
2025-10-16 02:37:51|19,00|7
2025-10-16 02:37:51|19,00|8
2025-10-16 02:37:52|19,00|9
2025-10-16 02:37:52|19,00|10
2025-10-16 02:37:53|18,00|11
2025-10-16 02:37:54|18,00|12
2025-10-16 02:37:54|18,00|13
2025-10-16 02:37:55|18,00|14
2025-10-16 02:37:57|181,00|15
2025-10-16 02:37:58|12,00|16
2025-10-16 02:37:58|12,00|17
2025-10-16 02:37:58|2,00|18
2025-10-16 02:37:59|121,00|19
2025-10-16 02:37:59|2,00|20
2025-10-16 02:37:59|12,00|21
2025-10-16 02:37:59|212,00|22
2025-10-16 02:38:00|12,00|23
